100.0;2290.5
99.5;2287.9166666666665
99.0;2280.3333333333335
98.5;2276.5833333333335
98.0;2276.8333333333335
97.5;2276.5
97.0;2276.1666666666665
96.5;2272.4166666666665
96.0;2273.25
95.5;2271.5833333333335
95.0;2266.25
94.5;2270.5
94.0;2270.6666666666665
93.5;2276.4166666666665
93.0;2285.3333333333335
92.5;2275.4166666666665
92.0;2282.1666666666665
91.5;2270.3333333333335
91.0;2267.6666666666665
90.5;2258.75
90.0;2251.1666666666665
89.5;2243.3333333333335
89.0;2243.3333333333335
88.5;2235.5833333333335
88.0;2234.3333333333335
87.5;2228.1666666666665
87.0;2224.3333333333335
86.5;2219.3333333333335
86.0;2217.9166666666665
85.5;2207.6666666666665
85.0;2202.5
84.5;2188.0833333333335
84.0;2189.4166666666665
83.5;2177.9166666666665
83.0;2178.75
82.5;2165.4166666666665
82.0;2167.9166666666665
81.5;2162.9166666666665
81.0;2169.5833333333335
80.5;2154.6666666666665
80.0;2152.6666666666665
79.5;2142.25
79.0;2151.0
78.5;2132.0833333333335
78.0;2130.1666666666665
77.5;2115.25
77.0;2113.5833333333335
76.5;2095.75
76.0;2101.9166666666665
75.5;2087.1666666666665
75.0;2077.5
74.5;2055.3333333333335
74.0;2052.8333333333335
73.5;2032.75
73.0;2033.8333333333333
72.5;2008.8333333333333
72.0;2010.6666666666667
71.5;1983.3333333333333
71.0;1984.6666666666667
70.5;1956.0
70.0;1957.0
69.5;1929.8333333333333
69.0;1927.5833333333333
68.5;1893.3333333333333
68.0;1894.4166666666667
67.5;1865.6666666666667
67.0;1861.0
66.5;1828.0833333333333
66.0;1822.75
65.5;1785.1666666666667
65.0;1782.25
64.5;1745.25
64.0;1744.9166666666667
63.5;1704.3333333333333
63.0;1709.6666666666667
62.5;1674.6666666666667
62.0;1676.5
61.5;1633.5833333333333
61.0;1624.5
60.5;1583.0
60.0;1583.8333333333333
59.5;1546.0833333333333
59.0;1545.1666666666667
58.5;1504.0
58.0;1507.1666666666667
57.5;1463.3333333333333
57.0;1465.0
56.5;1425.25
56.0;1434.5833333333333
55.5;1387.4166666666667
55.0;1387.1666666666667
54.5;1346.1666666666667
54.0;1345.5
53.5;1300.5833333333333
53.0;1303.0
52.5;1259.5
52.0;1258.8333333333333
51.5;1212.9166666666667
51.0;1213.5833333333333
50.5;1169.5833333333333
50.0;1173.1666666666667
49.5;1128.75
49.0;1120.9166666666667
48.5;1075.5833333333333
48.0;1077.1666666666667
47.5;1030.5833333333333
47.0;1029.1666666666667
46.5;986.5833333333334
46.0;987.4166666666666
45.5;939.9166666666666
45.0;937.75
44.5;892.75
44.0;895.75
43.5;850.0
43.0;850.3333333333334
42.5;806.0833333333334
42.0;804.1666666666666
41.5;759.9166666666666
41.0;761.6666666666666
40.5;717.1666666666666
40.0;720.9166666666666
39.5;677.5833333333334
39.0;677.8333333333334
38.5;636.4166666666666
38.0;636.8333333333334
37.5;597.1666666666666
37.0;1470.1666666666667
36.5;555.6666666666666
36.0;557.75
35.5;518.25
35.0;520.25
34.5;483.0833333333333
34.0;483.5833333333333
33.5;446.5833333333333
33.0;449.25
32.5;415.5
32.0;415.0833333333333
31.5;383.0833333333333
31.0;381.3333333333333
30.5;350.6666666666667
30.0;349.3333333333333
29.5;319.0833333333333
29.0;319.1666666666667
28.5;290.4166666666667
28.0;289.3333333333333
27.5;262.5
27.0;262.1666666666667
26.5;235.83333333333334
26.0;235.5
25.5;211.33333333333334
25.0;212.08333333333334
24.5;187.58333333333334
24.0;188.66666666666666
23.5;166.16666666666666
23.0;166.91666666666666
22.5;146.75
22.0;146.66666666666666
21.5;128.75
21.0;128.75
20.5;111.5
20.0;111.5
19.5;96.66666666666667
19.0;97.0
18.5;83.41666666666667
18.0;83.08333333333333
17.5;70.0
17.0;70.0
16.5;59.166666666666664
16.0;59.0
15.5;49.166666666666664
15.0;49.083333333333336
14.5;40.0
14.0;40.0
13.5;32.083333333333336
13.0;32.0
12.5;25.333333333333332
12.0;25.0
11.5;19.0
11.0;19.0
10.5;14.166666666666666
10.0;14.583333333333334
9.5;10.833333333333334
9.0;11.0
8.5;7.583333333333333
8.0;8.0
7.5;5.0
7.0;5.0
6.5;4.0
6.0;4.0
5.5;2.0
5.0;2.0
4.5;2.0
4.0;2.0
3.5;1.0
3.0;1.0
2.5;69.0
2.0;60.833333333333336
1.5;85.83333333333333
1.0;91.25
0.5;1.0
0.0;1.0
